Order_id,Order_date,Delivery_date,Customer_id,Order_Item,Order_Qty,Order_Value,Payment_Type,Channel
O00000001,2026-01-02,2026-01-04,C000001,Skincare,1,1021.58,UPI,Ecom
O00000002,2026-01-11,2026-01-19,C000002,Makeup,2,1626.16,UPI,Ecom
O00000003,2026-01-07,2026-01-11,C000002,Haircare,2,4293.55,Debit Card,Ecom
O00000004,2026-01-05,2026-01-11,C000003,Skincare,1,1735.4,UPI,Meta
O00000005,2026-01-21,2026-01-26,C000004,Haircare,3,3430.96,UPI,Website
O00000006,2026-01-15,2026-01-22,C000005,Fragrance,1,1364.71,UPI,Ecom
O00000007,2026-01-11,2026-01-16,C000006,Skincare,1,1810.92,UPI,Meta
O00000008,2026-01-02,2026-01-05,C000006,Haircare,1,663.59,Credit Card,Website
O00000009,2026-01-20,2026-01-22,C000007,Skincare,1,835.24,Credit Card,Meta
O00000010,2026-01-05,2026-01-11,C000008,Skincare,1,1061.31,UPI,Website
O00000011,2026-01-11,2026-01-18,C000009,Haircare,2,3091.91,Debit Card,Website
O00000012,2026-01-01,2026-01-06,C000010,Makeup,1,1421.39,UPI,GoogleAds
O00000013,2026-01-12,2026-01-17,C000011,Wellness,2,1272.61,Net Banking,Website
O00000014,2026-01-05,2026-01-08,C000012,Skincare,2,3584.8,UPI,Website
O00000015,2026-01-18,2026-01-26,C000013,Wellness,1,785.77,UPI,Website
O00000016,2026-01-05,2026-01-07,C000013,Makeup,1,645.73,UPI,Meta
O00000017,2026-01-07,2026-01-13,C000014,Makeup,1,1657.87,UPI,Qcom
O00000018,2026-01-04,2026-01-11,C000015,Skincare,1,1842.94,COD,Ecom
O00000019,2026-01-08,2026-01-15,C000016,Haircare,1,2434.35,Debit Card,GoogleAds
O00000020,2026-01-12,2026-01-18,C000017,Makeup,1,1172.62,Credit Card,Ecom
O00000021,2026-01-08,2026-01-14,C000018,Haircare,1,2010.97,UPI,Meta
O00000022,2026-01-09,2026-01-13,C000019,Makeup,2,1451.68,UPI,Website
O00000023,2026-01-03,2026-01-10,C000020,Skincare,1,1297.89,Debit Card,Website
O00000024,2026-01-13,2026-01-15,C000021,Wellness,1,1342.21,Credit Card,Qcom
O00000025,2026-01-04,2026-01-07,C000022,Haircare,2,4899.5,UPI,Ecom
O00000026,2026-01-24,2026-01-25,C000023,Skincare,1,2407.7,UPI,Qcom
O00000027,2026-01-27,2026-02-04,C000024,Skincare,2,5345.55,Debit Card,Meta
O00000028,2026-01-18,2026-01-25,C000025,Haircare,1,1449.41,COD,Qcom
O00000029,2026-01-11,2026-01-15,C000025,Haircare,3,6297.49,Credit Card,Ecom
O00000030,2026-01-06,2026-01-14,C000026,Skincare,1,808.17,Credit Card,Qcom
O00000031,2026-01-06,2026-01-11,C000026,Skincare,1,2446.03,Debit Card,Qcom
O00000032,2026-01-25,2026-01-26,C000027,Haircare,1,1410.31,Credit Card,Website
O00000033,2026-01-07,2026-01-10,C000028,Makeup,1,500.55,Debit Card,Ecom
O00000034,2026-01-21,2026-01-29,C000029,Haircare,3,6221.29,UPI,Website
O00000035,2026-01-15,2026-01-17,C000030,Skincare,2,2260.47,UPI,Ecom
O00000036,2026-01-07,2026-01-09,C000031,Skincare,1,1956.07,COD,Website
O00000037,2026-01-06,2026-01-10,C000032,Haircare,1,1214.84,Debit Card,Qcom
O00000038,2026-01-11,2026-01-14,C000033,Haircare,3,3581.26,UPI,Ecom
O00000039,2026-01-24,2026-01-28,C000034,Bath & Body,1,476.9,UPI,Website
O00000040,2026-01-03,2026-01-07,C000035,Haircare,1,1791.81,UPI,Ecom
O00000041,2026-01-19,2026-01-25,C000036,Skincare,2,5567.01,Credit Card,Website
O00000042,2026-01-27,2026-02-04,C000037,Skincare,1,2382.74,UPI,Ecom
O00000043,2026-01-09,2026-01-17,C000038,Haircare,1,1987.83,Credit Card,Website
O00000044,2026-01-12,2026-01-20,C000039,Wellness,1,1121.88,Debit Card,Qcom
O00000045,2026-01-13,2026-01-14,C000040,Haircare,1,1417.05,Debit Card,Website
O00000046,2026-01-01,2026-01-03,C000041,Wellness,1,1409.26,UPI,Qcom
O00000047,2026-01-01,2026-01-08,C000042,Skincare,1,1526.71,Credit Card,Website
O00000048,2026-01-14,2026-01-20,C000042,Haircare,2,2133.05,Credit Card,Ecom
O00000049,2026-01-18,2026-01-25,C000043,Skincare,1,2924.32,UPI,Website
O00000050,2026-01-22,2026-01-25,C000044,Haircare,2,1932.92,UPI,Qcom
O00000051,2026-01-25,2026-02-01,C000045,Makeup,1,508.52,Net Banking,Website
O00000052,2026-01-02,2026-01-04,C000045,Skincare,1,1372.05,Credit Card,Ecom
O00000053,2026-01-17,2026-01-19,C000046,Haircare,1,1810.93,Net Banking,Qcom
O00000054,2026-01-26,2026-01-30,C000046,Skincare,2,4889.05,COD,Qcom
O00000055,2026-01-08,2026-01-14,C000047,Bath & Body,1,1151.71,UPI,Qcom
O00000056,2026-01-16,2026-01-19,C000048,Skincare,1,3012.63,Net Banking,Website
O00000057,2026-01-18,2026-01-20,C000049,Skincare,1,1316.12,UPI,Qcom
O00000058,2026-01-03,2026-01-10,C000050,Bath & Body,3,3448.96,Net Banking,GoogleAds
O00000059,2026-01-22,2026-01-30,C000051,Makeup,1,1552.4,Credit Card,Ecom
O00000060,2026-01-16,2026-01-24,C000052,Skincare,2,1741.55,UPI,Qcom
O00000061,2026-01-18,2026-01-21,C000053,Haircare,2,4647.77,UPI,Ecom
O00000062,2026-01-21,2026-01-23,C000054,Haircare,1,967.23,Credit Card,Ecom
O00000063,2026-01-07,2026-01-15,C000055,Makeup,1,1209.03,Debit Card,Ecom
O00000064,2026-01-15,2026-01-21,C000056,Makeup,1,807.93,Credit Card,Ecom
O00000065,2026-01-04,2026-01-12,C000057,Makeup,1,963.35,Debit Card,Qcom
O00000066,2026-01-01,2026-01-05,C000058,Haircare,1,1256.67,UPI,Qcom
O00000067,2026-01-01,2026-01-08,C000059,Skincare,1,3127.08,Credit Card,GoogleAds
O00000068,2026-01-16,2026-01-22,C000060,Skincare,1,2736.28,UPI,GoogleAds
O00000069,2026-01-26,2026-02-02,C000060,Skincare,2,5094.59,UPI,GoogleAds
O00000070,2026-01-16,2026-01-18,C000061,Haircare,1,1157.29,Credit Card,Website
O00000071,2026-01-06,2026-01-10,C000062,Bath & Body,2,2495.01,Debit Card,Website
O00000072,2026-01-10,2026-01-12,C000063,Skincare,3,7668.61,Net Banking,Qcom
O00000073,2026-01-07,2026-01-11,C000064,Haircare,1,1922.98,UPI,Ecom
O00000074,2026-01-20,2026-01-24,C000065,Wellness,1,897.73,Debit Card,GoogleAds
O00000075,2026-01-21,2026-01-29,C000066,Haircare,1,895.66,Credit Card,Website
O00000076,2026-01-13,2026-01-15,C000066,Fragrance,1,1053.86,UPI,Website
O00000077,2026-01-26,2026-02-02,C000067,Skincare,1,2064.5,COD,Qcom
O00000078,2026-01-03,2026-01-08,C000068,Fragrance,1,3195.39,Debit Card,Ecom
O00000079,2026-01-17,2026-01-22,C000068,Skincare,1,2901.92,Net Banking,Website
O00000080,2026-01-05,2026-01-13,C000069,Haircare,1,1732.96,UPI,Ecom
O00000081,2026-01-03,2026-01-06,C000069,Haircare,1,1606.5,UPI,Meta
O00000082,2026-01-24,2026-01-27,C000070,Haircare,2,2621.46,UPI,Qcom
O00000083,2026-01-06,2026-01-08,C000071,Haircare,1,2191.32,Debit Card,GoogleAds
O00000084,2026-01-18,2026-01-21,C000072,Makeup,1,783.03,COD,Ecom
